"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","returns all active videos when query is blank","","2026-04-27","passed","2026-04-27","","searchVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","returnsAllWhenBlankQuery"
"","2013","recordPlatform accepts all known platform keys recordPlatform accepts iphone","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","8","recordPlatform accepts all known platform keys recordPlatform accepts api","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","1959","recordPlatform accepts all known platform keys recordPlatform accepts androidphone","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","17","fromKey is case-insensitive fromKey upper/mixed case 'ANDROIDPHONE'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","1530","throws IllegalArgumentException when videoId already exists","","2026-04-27","passed","2026-04-27","","createVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$CreateVideo","throwsWhenDuplicate"
"","46","returns video when found and active","","2026-04-27","passed","2026-04-27","","getVideoById","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetVideoById","returnsVideoWhenFoundAndActive"
"","10","recordPlatform accepts all known platform keys recordPlatform accepts androidtv","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","2","fromKey resolves every platform back to itself fromKey(AUTOMATION) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","1","fromKey is case-insensitive fromKey upper/mixed case 'Iphone'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","4","fromKey throws for unknown / blank keys unknown key 'windows_phone' throws","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnUnknown"
"","1","fromKey resolves every platform back to itself fromKey(PLAYSTATION) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","4","fromKey resolves every platform back to itself fromKey(IPAD) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","23","delegates trimmed query to repository.search","","2026-04-27","passed","2026-04-27","","searchVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","delegatesToRepository"
"","13","fromKey resolves every platform back to itself fromKey(DESKTOP_WINDOWS) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","1528","updates all mutable fields and returns saved entity","","2026-04-27","passed","2026-04-27","","updateVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$UpdateVideo","updatesAllFields"
"","7","recordPlatform accepts all known platform keys recordPlatform accepts automation","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","1","fromKey resolves every platform back to itself fromKey(CHROMECAST) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
