"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_WINDOWS","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","485","[Smoke] Recording unknown platform in pipeline run returns 400","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","pipelinePlatformUnknownReturns400"
"","244","[Smoke] PUT /videos/{id} updates title, category and genre","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","updateVideo_success"
"","95","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TABLET","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","87","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform LG_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","97","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_PHONE","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","167","[Smoke] POST /videos with duplicate videoId returns 400","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","createVideo_duplicateId_returns400"
"","77","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ROKU","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","175","[Smoke] DELETE /videos/{id} soft-deletes the video","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","deleteVideo_success"
"","75","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_MACOS","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","97","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform SAMSUNG_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","85","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform AUTOMATION","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","3590","[Smoke] Ingesting metric for unknown platform returns 400","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestMetricUnknownPlatformReturns400"
"","94","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform APPLE_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","99","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform FIRE_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","100","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPAD","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","114","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPHONE","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","68","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform CHROMECAST","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","4016","[Smoke] GET /videos?category=movie returns only movies","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","listVideos_filterByCategory"
"","362","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform WEB","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","196","[Smoke] GET /videos/{id}/manifest returns hls and dash URLs","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","getManifest_returnsUrls"
"","1504","[Smoke] OpenAPI docs endpoint is available","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","openApiDocsAvailable"
"","77","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform PLAYSTATION","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","96","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","100","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_LINUX","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","76","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform XBOX","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","236","[Smoke] GET /videos/search?q=bunny returns results containing 'bunny'","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","searchVideos_byTitleKeyword"
"","130","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform API","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
