"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","ABR","1","0","Manual Level Override","0"
"0","","0","Startup Latency","1","0","Startup delay (late manifest attach)","0"
"1","","0","Rebuffering Detection","1","0","Mid-play stall (HLS stop/start)","0"
"0","","0","Player Controls","1","0","Seek Boundary","0"
"2","","0","","0","0","","0"
"1","","0","ABR","1","0","Automatic Level Selection","0"
"0","","0","Player Controls","1","0","Resume","0"
"0","","0","Player Controls","1","0","Seek Forward","0"
"0","","0","Player Controls","1","0","Seek Backward","0"
