"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","QoE API","0","Pipeline acceptance","1","0","Multi-platform aggregate gate","0"
"0","Video Catalog API","0","List Videos","1","0","List all videos returns non-empty catalog","0"
"0","QoE API","0","Actuator","1","0","Health","0"
"0","QoE API","0","Videos","1","0","Catalog","0"
"0","Video Catalog API","0","Get Video","1","0","Get existing video by ID returns full details","0"
"0","QoE API","0","Platforms","1","0","Full list","0"
"0","Video Catalog API","0","Create Video","1","0","Create a new video returns 201 with persisted data","0"
"0","Video Catalog API","0","Get Video","1","0","Get non-existent video returns 404","0"
