"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","[Smoke] Recording unknown platform in pipeline run returns 400","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","pipelinePlatformUnknownReturns400"
"","69","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform XBOX","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","77","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ROKU","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","238","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform WEB","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","76","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_WINDOWS","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","82","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform APPLE_TV","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","159","[Smoke] POST /videos with duplicate videoId returns 400","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","createVideo_duplicateId_returns400"
"","74","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform API","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","137","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform SAMSUNG_TV","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","70","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform AUTOMATION","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","94","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPHONE","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","3308","[Smoke] Ingesting metric for unknown platform returns 400","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestMetricUnknownPlatformReturns400"
"","77","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform FIRE_TV","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","1425","[Smoke] OpenAPI docs endpoint is available","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","openApiDocsAvailable"
"","71","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_MACOS","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","60","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform PLAYSTATION","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","83","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_PHONE","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","172","[Smoke] DELETE /videos/{id} soft-deletes the video","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","deleteVideo_success"
"","77","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform LG_TV","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","75","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform CHROMECAST","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","174","[Smoke] GET /videos/{id}/manifest returns hls and dash URLs","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","getManifest_returnsUrls"
"","105","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TV","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","91","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform IPAD","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","165","[Smoke] GET /videos/search?q=bunny returns results containing 'bunny'","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","searchVideos_byTitleKeyword"
"","248","[Smoke] PUT /videos/{id} updates title, category and genre","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","updateVideo_success"
"","4208","[Smoke] GET /videos?category=movie returns only movies","","2026-04-26","passed","2026-04-26","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","listVideos_filterByCategory"
"","84","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform ANDROID_TABLET","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","84","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform DESKTOP_LINUX","","2026-04-26","passed","2026-04-26","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
