"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform API","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","4451","[Smoke] GET /videos?category=movie returns only movies","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","listVideos_filterByCategory"
"","89","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform SAMSUNG_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","87","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform XBOX","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","1666","[Smoke] OpenAPI docs endpoint is available","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","openApiDocsAvailable"
"","196","[Smoke] DELETE /videos/{id} soft-deletes the video","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","deleteVideo_success"
"","305","[Smoke] PUT /videos/{id} updates title, category and genre","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","updateVideo_success"
"","495","[Smoke] Recording unknown platform in pipeline run returns 400","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","pipelinePlatformUnknownReturns400"
"","123","[Smoke] Ingest + query metric for each platform metrics ingest + query for platform APPLE_TV","","2026-04-27","passed","2026-04-27","","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","com.devopsdays.qoe.api.e2e.QoEApiE2EIT","ingestAndQueryMetricForEachPlatform"
"","288","[Smoke] GET /videos/{id}/manifest returns hls and dash URLs","","2026-04-27","passed","2026-04-27","","Video Catalog API — E2E","com.devopsdays.qoe.api.e2e.VideoApiE2EIT","getManifest_returnsUrls"
