"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","fromKey resolves every platform back to itself fromKey(APPLE_TV) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","34","throws IllegalArgumentException when videoId already exists","","2026-04-27","passed","2026-04-27","","createVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$CreateVideo","throwsWhenDuplicate"
"","19","fromKey resolves every platform back to itself fromKey(DESKTOP_MACOS) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","1760","returns empty for soft-deleted (inactive) video","","2026-04-27","passed","2026-04-27","","getVideoById","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetVideoById","returnsEmptyForInactiveVideo"
"","30","recordPlatform accepts all known platform keys recordPlatform accepts androidtv","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","1809","returns all active videos when query is null","","2026-04-27","passed","2026-04-27","","searchVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$SearchVideos","returnsAllWhenNullQuery"
"","2026","sets active=false and saves the entity","","2026-04-27","passed","2026-04-27","","deleteVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$DeleteVideo","setsActiveFalse"
"","128","fromKey is case-insensitive fromKey upper/mixed case 'ANDROIDTV'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","2","fromKey resolves every platform back to itself fromKey(AUTOMATION) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","2163","returns only active videos","","2026-04-27","passed","2026-04-27","","getAllVideos","com.devopsdays.qoe.api.unit.video.VideoServiceTest$GetAllVideos","returnsActiveVideos"
"","2443","recordPlatform accepts all known platform keys recordPlatform accepts web","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformAcceptsAllKnownPlatforms"
"","10","fromKey is case-insensitive fromKey upper/mixed case 'FireTV'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","1","fromKey is case-insensitive fromKey upper/mixed case 'Androidphone'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","2","fromKey resolves every platform back to itself fromKey(DESKTOP_LINUX) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","17","fromKey resolves every platform back to itself fromKey(IPAD) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","2500","recordPlatform throws IllegalArgumentException for unknown key 'tvos'","","2026-04-27","passed","2026-04-27","","PipelineAcceptanceService","com.devopsdays.qoe.api.unit.pipeline.PipelineAcceptanceServiceTest","recordPlatformRejectsUnknownName"
"","17","fromKey throws for unknown / blank keys unknown key 'tvos' throws","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyThrowsOnUnknown"
"","1807","persists a new video and returns the saved entity","","2026-04-27","passed","2026-04-27","","createVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$CreateVideo","persistsVideo"
"","2","fromKey resolves every platform back to itself fromKey(IPHONE) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","7","fromKey resolves every platform back to itself fromKey(DESKTOP_WINDOWS) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","2","fromKey resolves every platform back to itself fromKey(LG_TV) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","18","fromKey is case-insensitive fromKey upper/mixed case 'APPLETV'","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyIsCaseInsensitive"
"","1826","updates all mutable fields and returns saved entity","","2026-04-27","passed","2026-04-27","","updateVideo","com.devopsdays.qoe.api.unit.video.VideoServiceTest$UpdateVideo","updatesAllFields"
"","131","fromKey resolves every platform back to itself fromKey(SAMSUNG_TV) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
"","13","fromKey resolves every platform back to itself fromKey(ROKU) round-trips","","2026-04-27","passed","2026-04-27","","Platform","com.devopsdays.qoe.api.unit.platform.PlatformTest","fromKeyRoundTrips"
