"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Time to First Frame","1","0","Baseline (reference stream)","0"
"0","","0","ABR","1","0","Bandwidth Estimation","0"
"0","","2","Visual Fault Detection","0","0","Black screen pulse (decoder freeze simulation)","0"
"0","","0","Player Controls","1","0","Pause","0"
"0","","0","ABR","1","0","Quality Levels","0"
